# seuil 	levenshteinDistance	smoaDistance	equalDistance
0.00 0.03773584905660377	 0.0392156862745098	 0.5714285714285714	
0.05 0.03773584905660377	 0.0392156862745098	 0.5714285714285714	
0.10 0.03773584905660377	 0.043478260869565216	 0.5714285714285714	
0.15 0.03773584905660377	 0.043478260869565216	 0.5714285714285714	
0.20 0.0380952380952381	 0.043478260869565216	 0.5714285714285714	
0.25 0.038834951456310676	 0.04395604395604396	 0.5714285714285714	
0.30 0.043010752688172046	 0.04395604395604396	 0.5714285714285714	
0.35 0.05194805194805195	 0.044444444444444446	 0.5714285714285714	
0.40 0.06557377049180328	 0.047619047619047616	 0.5714285714285714	
0.45 0.1	 0.05263157894736842	 0.5714285714285714	
0.50 0.125	 0.05970149253731343	 0.5714285714285714	
0.55 0.2222222222222222	 0.06666666666666667	 0.5714285714285714	
0.60 0.26666666666666666	 0.07547169811320754	 0.5714285714285714	
0.65 0.36363636363636365	 0.0851063829787234	 0.5714285714285714	
0.70 0.4	 0.0975609756097561	 0.5714285714285714	
0.75 0.4444444444444444	 0.11428571428571428	 0.5714285714285714	
0.80 0.5714285714285714	 0.19047619047619047	 0.5714285714285714	
0.85 0.5714285714285714	 0.25	 0.5714285714285714	
0.90 0.5714285714285714	 0.3076923076923077	 0.5714285714285714	
0.95 0.5714285714285714	 0.4444444444444444	 0.5714285714285714	
1.00 0.5714285714285714	 0.5714285714285714	 0.5714285714285714	

