# seuil 	levenshteinDistance	smoaDistance	equalDistance
0.00 0.07272727272727272	 0.07547169811320754	 0.7272727272727273	
0.05 0.07272727272727272	 0.07547169811320754	 0.7272727272727273	
0.10 0.07272727272727272	 0.08333333333333333	 0.7272727272727273	
0.15 0.07272727272727272	 0.08333333333333333	 0.7272727272727273	
0.20 0.07339449541284404	 0.08333333333333333	 0.7272727272727273	
0.25 0.07476635514018691	 0.08421052631578947	 0.7272727272727273	
0.30 0.08247422680412372	 0.08421052631578947	 0.7272727272727273	
0.35 0.09876543209876544	 0.0851063829787234	 0.7272727272727273	
0.40 0.12307692307692307	 0.0909090909090909	 0.7272727272727273	
0.45 0.18181818181818182	 0.1	 0.7272727272727273	
0.50 0.2222222222222222	 0.11267605633802817	 0.7272727272727273	
0.55 0.3636363636363636	 0.125	 0.7272727272727273	
0.60 0.4210526315789474	 0.14035087719298245	 0.7272727272727273	
0.65 0.5333333333333333	 0.1568627450980392	 0.7272727272727273	
0.70 0.5714285714285715	 0.17777777777777776	 0.7272727272727273	
0.75 0.6153846153846153	 0.20512820512820512	 0.7272727272727273	
0.80 0.7272727272727273	 0.32	 0.7272727272727273	
0.85 0.7272727272727273	 0.4	 0.7272727272727273	
0.90 0.7272727272727273	 0.47058823529411764	 0.7272727272727273	
0.95 0.7272727272727273	 0.6153846153846153	 0.7272727272727273	
1.00 0.7272727272727273	 0.7272727272727273	 0.7272727272727273	

